fetched_at,name,url,status,n_tools,error
2026-08-10T02:29:20+00:00,ai.bareun/bareun,https://api.bareun.ai/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://api.bareun.ai/mcp
2026-08-10T02:29:20+00:00,ai.baselight/baselight,https://api.baselight.app/mcp,error,,"ConnectionError: HTTPSConnectionPool(host='api.baselight.app', port=443): Max retries exceeded with url: /mcp (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x10e21ec60>: Failed to resolve 'api.baselight.app' ([Errno 8] nodename nor servname provided, or not known)""))"
2026-08-10T02:29:21+00:00,ai.basethread/basethread,https://mcp.basethread.ai/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://mcp.basethread.ai/mcp
2026-08-10T02:29:22+00:00,ai.bassethound/bassethound,https://mcp.bassethound.ai/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://mcp.bassethound.ai/mcp
2026-08-10T02:29:23+00:00,ai.beatbandit/beatbandit,https://beatbandit.ai/api/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://beatbandit.ai/api/mcp
2026-08-10T02:29:23+00:00,ai.beket/audit,https://mcp.beket.ai/registry/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://mcp.beket.ai/registry/mcp
2026-08-10T02:29:24+00:00,ai.benroberts/b4-index,https://b4-index.vercel.app/mcp,ok,5,
2026-08-10T02:29:25+00:00,ai.betterpost/server,https://betterpost.ai/mcp,ok,23,
2026-08-10T02:29:26+00:00,ai.bezal/local-commerce,https://app.bezal.ai/api/mcp,ok,13,
2026-08-10T02:29:26+00:00,ai.biddeed/biddeed-mcp,https://biddeed.ai/api/mcp,error,,HTTPError: 404 Client Error: Not Found for url: https://biddeed.ai/api/mcp
2026-08-10T02:29:27+00:00,ai.biel/biel-ai,https://mcp.biel.ai/v2/{project_slug}/mcp,error,,HTTPError: 400 Client Error: Bad Request for url: https://app.biel.ai/mcp/%7Bproject_slug%7D
2026-08-10T02:29:28+00:00,ai.bittlebits/bittlebits,https://bittlebits.ai/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://bittlebits.ai/mcp
2026-08-10T02:29:28+00:00,ai.bizmuse/bizmuse,,skipped_no_remote,,
2026-08-10T02:29:28+00:00,ai.blast-radius/blast-radius,https://blast-radius.ai/mcp,ok,7,
2026-08-10T02:29:29+00:00,ai.bloopo/bloopo,https://mcp.bloopo.ai/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://mcp.bloopo.ai/mcp
2026-08-10T02:29:29+00:00,ai.bluenexus/universal-mcp,https://api.bluenexus.ai/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://api.bluenexus.ai/mcp
2026-08-10T02:29:30+00:00,ai.bodenrichtwert/mcp,https://mcp.bodenrichtwert.ai/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://mcp.bodenrichtwert.ai/mcp
2026-08-10T02:29:30+00:00,ai.bolthub/mcp,,skipped_no_remote,,
2026-08-10T02:29:31+00:00,ai.bolthub/registry,,skipped_no_remote,,
2026-08-10T02:29:31+00:00,ai.boolsai/directory,https://directory.boolsai.ai/mcp,ok,19,
2026-08-10T02:29:31+00:00,ai.boolsai/grep,https://grep.boolsai.ai/mcp,ok,4,
2026-08-10T02:29:32+00:00,ai.boolsai/scan,https://boolsai.ai/mcp,ok,2,
2026-08-10T02:29:32+00:00,ai.boolsai/signals,https://signals.boolsai.ai/mcp,ok,12,
2026-08-10T02:29:34+00:00,ai.borealhost/mcp,https://borealhost.ai/mcp/,ok,144,
2026-08-10T02:29:35+00:00,ai.boundaryai/boundaryai,https://mcp.boundaryai.ai/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://mcp.boundaryai.ai/mcp
2026-08-10T02:29:35+00:00,ai.bourdon/bourdon,,skipped_no_remote,,
2026-08-10T02:29:35+00:00,ai.bowmark/bowmark,https://api.bowmark.ai/mcp,ok,2,
2026-08-10T02:30:06+00:00,ai.brainattic/knowledge-base,https://app.brainattic.ai/api/mcp,error,,"ConnectionError: HTTPSConnectionPool(host='app.brainattic.ai', port=443): Max retries exceeded with url: /api/mcp (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x104b63560>: Failed to resolve 'app.brainattic.ai' ([Errno 8] nodename nor servname provided, or not known)"
2026-08-10T02:30:07+00:00,ai.bringyour/bringyour,https://bringyour.ai/mcp,ok,7,
2026-08-10T02:30:07+00:00,ai.bunzee/bunzee,https://bunzee.ai/mcp-server,error,,HTTPError: 401 Client Error: Unauthorized for url: https://bunzee.ai/mcp-server
2026-08-10T02:30:09+00:00,ai.buron/buron,https://app.buron.ai/api/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://app.buron.ai/api/mcp
2026-08-10T02:30:10+00:00,ai.butlerbrain/mcp,https://api.butlerbrain.ai/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://api.butlerbrain.ai/mcp
2026-08-10T02:30:10+00:00,ai.buyersense/buyersense,https://mcp.buyersense.ai/mcp,error,,"ConnectionError: HTTPSConnectionPool(host='mcp.buyersense.ai', port=443): Max retries exceeded with url: /mcp (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x104b601d0>: Failed to resolve 'mcp.buyersense.ai' ([Errno 8] nodename nor servname provided, or not known)""))"
2026-08-10T02:30:11+00:00,ai.buywhere/buywhere-mcp,,skipped_no_remote,,
2026-08-10T02:30:11+00:00,ai.buywhere/catalog-api,https://mcp.buywhere.ai/mcp,ok,8,
2026-08-10T02:30:13+00:00,ai.byteask/embedded-docs,https://mcp.byteask.ai/mcp,ok,3,
